alpha,steering_coeff,prompt,dominance_scorsese,dominance_spielberg,dominant_director
0.5,1.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.5,1.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.5,1.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.5,1.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.5,1.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.5,1.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.5,1.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.5,1.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.5,1.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.5,2.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.5,2.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.5,2.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.5,2.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.5,2.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.75,0.5,A man walks into a bar. He sits down and orders a drink with,0.1464,0.8536,spielberg
0.75,0.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.75,0.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.75,0.5,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.75,0.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.001,0.999,spielberg
0.75,1.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.75,1.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.75,1.0,Two men sit across from each other at a table. Neither speak,0.0002,0.9998,spielberg
0.75,1.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.75,1.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
0.75,1.5,A man walks into a bar. He sits down and orders a drink with,0.0413,0.9587,spielberg
0.75,1.5,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.75,1.5,Two men sit across from each other at a table. Neither speak,0.0087,0.9913,spielberg
0.75,1.5,She opens the letter. Her hands do not shake. She reads it t,0.0155,0.9845,spielberg
0.75,1.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.3801,0.6199,spielberg
0.75,2.0,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
0.75,2.0,A child stands at the edge of a forest. Something moves in t,0.0,1.0,spielberg
0.75,2.0,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
0.75,2.0,She opens the letter. Her hands do not shake. She reads it t,0.0,1.0,spielberg
0.75,2.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0,1.0,spielberg
1.0,0.5,A man walks into a bar. He sits down and orders a drink with,0.0,1.0,spielberg
1.0,0.5,A child stands at the edge of a forest. Something moves in t,0.9996,0.0004,scorsese
1.0,0.5,Two men sit across from each other at a table. Neither speak,0.0,1.0,spielberg
1.0,0.5,She opens the letter. Her hands do not shake. She reads it t,0.978,0.022,scorsese
1.0,0.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.1861,0.8139,spielberg
1.0,1.0,A man walks into a bar. He sits down and orders a drink with,0.0238,0.9762,spielberg
1.0,1.0,A child stands at the edge of a forest. Something moves in t,0.0745,0.9255,spielberg
1.0,1.0,Two men sit across from each other at a table. Neither speak,0.0023,0.9977,spielberg
1.0,1.0,She opens the letter. Her hands do not shake. She reads it t,0.9451,0.0549,scorsese
1.0,1.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.9998,0.0002,scorsese
1.0,1.5,A man walks into a bar. He sits down and orders a drink with,0.8278,0.1722,scorsese
1.0,1.5,A child stands at the edge of a forest. Something moves in t,0.9493,0.0507,scorsese
1.0,1.5,Two men sit across from each other at a table. Neither speak,0.9188,0.0812,scorsese
1.0,1.5,She opens the letter. Her hands do not shake. She reads it t,0.464,0.536,spielberg
1.0,1.5,The city at 3 a.m. Rain on the pavement. One light still on ,0.9616,0.0384,scorsese
1.0,2.0,A man walks into a bar. He sits down and orders a drink with,0.1111,0.8889,spielberg
1.0,2.0,A child stands at the edge of a forest. Something moves in t,0.347,0.653,spielberg
1.0,2.0,Two men sit across from each other at a table. Neither speak,0.1568,0.8432,spielberg
1.0,2.0,She opens the letter. Her hands do not shake. She reads it t,0.5241,0.4759,scorsese
1.0,2.0,The city at 3 a.m. Rain on the pavement. One light still on ,0.0468,0.9532,spielberg
